Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price
04/01/2016,46,APXMIDP ,2080.3,30.53
04/01/2016,46,N2EXMIDP,0,0
04/01/2016,47,APXMIDP ,489.55,31.02
04/01/2016,47,N2EXMIDP,0,0
04/01/2016,48,APXMIDP ,458.65,28.4
04/01/2016,48,N2EXMIDP,0,0
05/01/2016,1,APXMIDP ,479.8,28.85
05/01/2016,1,N2EXMIDP,0,0
05/01/2016,2,APXMIDP ,390.7,30.31
05/01/2016,2,N2EXMIDP,0,0
05/01/2016,3,APXMIDP ,534.5,35.21
05/01/2016,3,N2EXMIDP,0,0
05/01/2016,4,APXMIDP ,584.1,32.85
05/01/2016,4,N2EXMIDP,0,0
05/01/2016,5,APXMIDP ,545.9,31.69
05/01/2016,5,N2EXMIDP,0,0
05/01/2016,6,APXMIDP ,578.5,32.06
05/01/2016,6,N2EXMIDP,0,0
05/01/2016,7,APXMIDP ,372.4,30.98
05/01/2016,7,N2EXMIDP,0,0
05/01/2016,8,APXMIDP ,347.5,30.32
05/01/2016,8,N2EXMIDP,0,0
05/01/2016,9,APXMIDP ,324.5,29.44
05/01/2016,9,N2EXMIDP,0,0
05/01/2016,10,APXMIDP ,294.9,29.99
05/01/2016,10,N2EXMIDP,0,0
05/01/2016,11,APXMIDP ,441,33.4
05/01/2016,11,N2EXMIDP,0,0
05/01/2016,12,APXMIDP ,181.9,28.93
05/01/2016,12,N2EXMIDP,0,0
05/01/2016,13,APXMIDP ,649.15,29.08
05/01/2016,13,N2EXMIDP,0,0
05/01/2016,14,APXMIDP ,1145.9,31.57
05/01/2016,14,N2EXMIDP,0,0
05/01/2016,15,APXMIDP ,560.45,35.58
05/01/2016,15,N2EXMIDP,0,0
05/01/2016,16,APXMIDP ,716.55,35.86
05/01/2016,16,N2EXMIDP,0,0
05/01/2016,17,APXMIDP ,447.55,36.02
05/01/2016,17,N2EXMIDP,0,0
05/01/2016,18,APXMIDP ,428.8,35.27
05/01/2016,18,N2EXMIDP,0,0
05/01/2016,19,APXMIDP ,491.6,36.77
05/01/2016,19,N2EXMIDP,0,0
05/01/2016,20,APXMIDP ,529.5,36.42
05/01/2016,20,N2EXMIDP,0,0
05/01/2016,21,APXMIDP ,567.6,36.98
05/01/2016,21,N2EXMIDP,0,0
05/01/2016,22,APXMIDP ,579.8,37.03
05/01/2016,22,N2EXMIDP,0,0
05/01/2016,23,APXMIDP ,693.65,38.41
05/01/2016,23,N2EXMIDP,0,0
05/01/2016,24,APXMIDP ,669.9,38.25
05/01/2016,24,N2EXMIDP,0,0
05/01/2016,25,APXMIDP ,562.8,38.1
05/01/2016,25,N2EXMIDP,0,0
05/01/2016,26,APXMIDP ,671,38.35
05/01/2016,26,N2EXMIDP,0,0
05/01/2016,27,APXMIDP ,737.8,37.55
05/01/2016,27,N2EXMIDP,0,0
05/01/2016,28,APXMIDP ,769.7,37.72
05/01/2016,28,N2EXMIDP,0,0
05/01/2016,29,APXMIDP ,753.05,37.85
05/01/2016,29,N2EXMIDP,0,0
05/01/2016,30,APXMIDP ,761.55,37.39
05/01/2016,30,N2EXMIDP,0,0
05/01/2016,31,APXMIDP ,1518.6,38.85
05/01/2016,31,N2EXMIDP,0,0
05/01/2016,32,APXMIDP ,1337.3,40.01
05/01/2016,32,N2EXMIDP,0,0
05/01/2016,33,APXMIDP ,1145.15,43.65
05/01/2016,33,N2EXMIDP,0,0
05/01/2016,34,APXMIDP ,1135.4,49.1
05/01/2016,34,N2EXMIDP,0,0
05/01/2016,35,APXMIDP ,969.45,51.71
05/01/2016,35,N2EXMIDP,0,0
05/01/2016,36,APXMIDP ,990.65,51.09
05/01/2016,36,N2EXMIDP,0,0
05/01/2016,37,APXMIDP ,1025.45,51.56
05/01/2016,37,N2EXMIDP,0,0
05/01/2016,38,APXMIDP ,987.05,49.12
05/01/2016,38,N2EXMIDP,0,0
05/01/2016,39,APXMIDP ,1557.7,44.77
05/01/2016,39,N2EXMIDP,0,0
05/01/2016,40,APXMIDP ,1291.85,42.13
05/01/2016,40,N2EXMIDP,0,0
05/01/2016,41,APXMIDP ,1041.75,42.06
05/01/2016,41,N2EXMIDP,0,0
05/01/2016,42,APXMIDP ,1151.55,40.44
05/01/2016,42,N2EXMIDP,0,0
05/01/2016,43,APXMIDP ,1023.05,35.24
05/01/2016,43,N2EXMIDP,0,0
05/01/2016,44,APXMIDP ,1308.15,35.94
05/01/2016,44,N2EXMIDP,0,0
05/01/2016,45,APXMIDP ,1034.15,34.47
05/01/2016,45,N2EXMIDP,0,0
05/01/2016,46,APXMIDP ,1138.7,32.36
05/01/2016,46,N2EXMIDP,0,0
05/01/2016,47,APXMIDP ,600.3,32.48
05/01/2016,47,N2EXMIDP,0,0
05/01/2016,48,APXMIDP ,461.55,31.05
05/01/2016,48,N2EXMIDP,0,0
06/01/2016,1,APXMIDP ,549.8,30.52
06/01/2016,1,N2EXMIDP,0,0
06/01/2016,2,APXMIDP ,866.65,35.43
06/01/2016,2,N2EXMIDP,0,0
06/01/2016,3,APXMIDP ,388.2,33.77
06/01/2016,3,N2EXMIDP,0,0
06/01/2016,4,APXMIDP ,349.25,32.73
06/01/2016,4,N2EXMIDP,0,0
06/01/2016,5,APXMIDP ,384.2,31.53
06/01/2016,5,N2EXMIDP,0,0
06/01/2016,6,APXMIDP ,382.95,32.51
06/01/2016,6,N2EXMIDP,0,0
06/01/2016,7,APXMIDP ,544.9,32.68
06/01/2016,7,N2EXMIDP,0,0
06/01/2016,8,APXMIDP ,497.2,32.24
06/01/2016,8,N2EXMIDP,0,0
06/01/2016,9,APXMIDP ,514,32.04
06/01/2016,9,N2EXMIDP,0,0
06/01/2016,10,APXMIDP ,482.8,30.97
06/01/2016,10,N2EXMIDP,0,0
06/01/2016,11,APXMIDP ,636.6,31.98
06/01/2016,11,N2EXMIDP,0,0
06/01/2016,12,APXMIDP ,486.15,32.1
06/01/2016,12,N2EXMIDP,0,0
06/01/2016,13,APXMIDP ,692,32.85
06/01/2016,13,N2EXMIDP,0,0
06/01/2016,14,APXMIDP ,945.4,34.76
06/01/2016,14,N2EXMIDP,0,0
06/01/2016,15,APXMIDP ,461.9,37.66
06/01/2016,15,N2EXMIDP,0,0
06/01/2016,16,APXMIDP ,381.65,38.61
06/01/2016,16,N2EXMIDP,0,0
06/01/2016,17,APXMIDP ,350.25,38.11
06/01/2016,17,N2EXMIDP,0,0
06/01/2016,18,APXMIDP ,423.8,38.58
06/01/2016,18,N2EXMIDP,0,0
06/01/2016,19,APXMIDP ,399.65,42.41
06/01/2016,19,N2EXMIDP,0,0
06/01/2016,20,APXMIDP ,546.1,43.29
06/01/2016,20,N2EXMIDP,0,0
06/01/2016,21,APXMIDP ,622.35,45.51
06/01/2016,21,N2EXMIDP,0,0
06/01/2016,22,APXMIDP ,659.05,45.54
06/01/2016,22,N2EXMIDP,0,0
06/01/2016,23,APXMIDP ,888.35,41.37
06/01/2016,23,N2EXMIDP,0,0
06/01/2016,24,APXMIDP ,910.2,40.52
06/01/2016,24,N2EXMIDP,0,0
06/01/2016,25,APXMIDP ,965.15,39.42
06/01/2016,25,N2EXMIDP,0,0
06/01/2016,26,APXMIDP ,1126.05,38.26
06/01/2016,26,N2EXMIDP,0,0
06/01/2016,27,APXMIDP ,1020.9,37.34
06/01/2016,27,N2EXMIDP,0,0
06/01/2016,28,APXMIDP ,1061.45,36.98
06/01/2016,28,N2EXMIDP,0,0
06/01/2016,29,APXMIDP ,1157.45,36.36
06/01/2016,29,N2EXMIDP,0,0
06/01/2016,30,APXMIDP ,1049.4,36.7
06/01/2016,30,N2EXMIDP,0,0
06/01/2016,31,APXMIDP ,1138.4,41.18
06/01/2016,31,N2EXMIDP,0,0
06/01/2016,32,APXMIDP ,1009.85,42.13
06/01/2016,32,N2EXMIDP,0,0
06/01/2016,33,APXMIDP ,1003.45,43.25
06/01/2016,33,N2EXMIDP,0,0
06/01/2016,34,APXMIDP ,1204.1,49.5
06/01/2016,34,N2EXMIDP,0,0
06/01/2016,35,APXMIDP ,1146.95,51.98
06/01/2016,35,N2EXMIDP,0,0
06/01/2016,36,APXMIDP ,1197.3,52.52
06/01/2016,36,N2EXMIDP,0,0
06/01/2016,37,APXMIDP ,1315,48.98
06/01/2016,37,N2EXMIDP,0,0
06/01/2016,38,APXMIDP ,1320.8,44.09
06/01/2016,38,N2EXMIDP,0,0
06/01/2016,39,APXMIDP ,2331.25,42.01
06/01/2016,39,N2EXMIDP,0,0
06/01/2016,40,APXMIDP ,1674.3,38.74
06/01/2016,40,N2EXMIDP,0,0
06/01/2016,41,APXMIDP ,1869.85,38.49
06/01/2016,41,N2EXMIDP,0,0
06/01/2016,42,APXMIDP ,2068.9,38.28
06/01/2016,42,N2EXMIDP,0,0
06/01/2016,43,APXMIDP ,1367.8,35.08
06/01/2016,43,N2EXMIDP,0,0
06/01/2016,44,APXMIDP ,1117.1,34.85
06/01/2016,44,N2EXMIDP,0,0
06/01/2016,45,APXMIDP ,1403.15,34.51
06/01/2016,45,N2EXMIDP,0,0
06/01/2016,46,APXMIDP ,1809.6,33.31
06/01/2016,46,N2EXMIDP,0,0
06/01/2016,47,APXMIDP ,1046.5,32.13
06/01/2016,47,N2EXMIDP,0,0
06/01/2016,48,APXMIDP ,680.15,30.99
06/01/2016,48,N2EXMIDP,0,0
07/01/2016,1,APXMIDP ,398.6,30.93
07/01/2016,1,N2EXMIDP,0,0
07/01/2016,2,APXMIDP ,415.45,36.54
07/01/2016,2,N2EXMIDP,0,0
07/01/2016,3,APXMIDP ,346.15,36.16
07/01/2016,3,N2EXMIDP,0,0
07/01/2016,4,APXMIDP ,327.15,33.74
07/01/2016,4,N2EXMIDP,0,0
